path,group_background,group_text,label_text
Publishers/12 Gauge/folder.css,#000000,#000000,#ffffff
Publishers/215 INK/folder.css,white,black,
Publishers/2dcloud/folder.css,white,black,
Publishers/44Flood/folder.css,black !important,black !important,white !important
Publishers/A Wave Blue World/folder.css,#0084c5,#0084c5,#ffffff
Publishers/AAMMarkosia/folder.css,#176271,#176271,#ffffff
Publishers/Aardvark-Vanaheim/folder.css,#000000,#000000,#ffffff
Publishers/Abrams – Abrams ComicArts/folder.css,#000000,#000000,#ffffff
Publishers/Abrams – Amulet Books/folder.css,#000000,#000000,#ffffff
Publishers/Abstract Studio/folder.css,#000000,#000000,#ffffff
Publishers/Aces Weekly/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Action Lab - Danger Zone/folder.css,#060600,#060600,#FFFFFF
Publishers/Action Lab - Discover/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Action Lab/folder.css,#b4ddf3,#b4ddf3,#ffffff
Publishers/AfterShock Comics/folder.css,#000000,#000000,#ffffff
Publishers/AiT-Planet Lar/folder.css,black !important,black !important,
Publishers/Akileos/folder.css,#b92435,#b92435,#ffffff
"Publishers/Akita Publishing Co.,Ltd/folder.css",#FFFFFF,#FFFFFF,#000000
Publishers/Albatross Funnybooks/folder.css,#000000,#000000,#ffffff
Publishers/Alterna Comics/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Alternative Comics/folder.css,#000000,#000000,#ffffff
Publishers/Amazon Studios/folder.css,#ffffff,#ffffff,#fe961c
Publishers/American Gothic Press/folder.css,black,white,white
Publishers/American Mythology Productions/folder.css,#000000,#000000,#ffffff
Publishers/Americas Best Comics/folder.css,white,white,red !important
Publishers/Amigo Comics/folder.css,#2b904e,#2b904e,
Publishers/Andrews McMeel Publishing/folder.css,#006666,#006666,#ffffff
Publishers/Ankama/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Antarctic Press/folder.css,#090a0c,#090a0c,#ffffff
Publishers/Ape Entertainment/folder.css,#000000,#000000,#ffffff
Publishers/Arcana Studio/folder.css,#000000,#000000,#f9e598
Publishers/Archie Comics/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Art of Fiction/folder.css,#e1e2dc,#e1e2dc,black !important
Publishers/Aspen MLT/folder.css,#007cd1,#007cd1,#ffffff
Publishers/Asylum Press/folder.css,#000000,#000000,#ffffff
Publishers/Atomeka Press/folder.css,black !important,black !important,white !important
Publishers/Avatar Press - Apparat/folder.css,black,black,
Publishers/Avatar Press - Boundless Comics/folder.css,#000000,#000000,#ffffff
Publishers/Avatar Press/folder.css,#000000,#000000,#ffffff
Publishers/BOOM! - Archaia/folder.css,#000000,#000000,#ffffff
Publishers/BOOM! - BOOM! Box/folder.css,#e4d385,#e4d385,#566d37
Publishers/BOOM! - KaBOOM!/folder.css,#279FBA,#279FBA,#ffffff
Publishers/BOOM! Studios/folder.css,#000000,#000000,#ffffff
Publishers/Babylon Press/folder.css,black !important,white !important,white !important
Publishers/Bedside Press/folder.css,#000000,#000000,#ffffff
Publishers/Bergen Street Comics Press/folder.css,#255370,#D0AD6B,#D0AD6B
Publishers/Big Head Little Arms/folder.css,#ffffff,#ffffff,#392e72
Publishers/Black Bull/folder.css,black !important,black !important,white !important
Publishers/Black Crown/folder.css,#000000,#000000,#ffffff
Publishers/Black Mask Studios/folder.css,#000000,#000000,#efefef
Publishers/Blind Ferret/folder.css,#000000,#000000,#ffffff
Publishers/Bliss On Tap/folder.css,#020202,#020202,#ffffff
Publishers/Bloomsbury Publishing/folder.css,white,black,
Publishers/Bongo/folder.css,#FFD527,black !important,black !important
Publishers/Bubble/folder.css,#1451aa,white !important,white !important
Publishers/Burlyman Entertainment/folder.css,black !important,black !important,white !important
Publishers/CORK/folder.css,#ffffff,#ffffff,#231815
Publishers/Caliber Comics/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Caracal/folder.css,#8fb03d,#8fb03d,#ffffff
Publishers/Cartoon Books Digital/folder.css,#ed1b24,#ed1b24,#ffffff
Publishers/Casterman/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/ChapterHouse Comics/folder.css,#FFFFFF,#FFFFFF,#ed1c24
Publishers/Checker BPG/folder.css,black !important,black !important,yellow !important
Publishers/ChiZine Publications/folder.css,#0a0a08,#0a0a08,#ffffff
Publishers/Cinebook/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Classics Illustrated/folder.css,#000000,#000000,#ffffff
Publishers/Com.x/folder.css,#c10303,#c10303,#ffffff
Publishers/ComicMix/folder.css,#000000,#000000,#ffffff
Publishers/Comicraft/folder.css,#FFAA33,#FFAA33,#ffffff
Publishers/ComixTribe/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Comixheroes Universe/folder.css,# !important,# !important,# !important
Publishers/Comixology/folder.css,#989898,#989898,white !important
Publishers/Creative Impulse/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Creator Owned Comics/folder.css,#d6e1b7,#d6e1b7,black !important
Publishers/CrossGen/folder.css,black !important,black !important,orange !important
Publishers/Crusade Comics/folder.css,white,black,white
Publishers/Cryptozoic Entertainment/folder.css,#000000,#000000,#ffffff
Publishers/CubHouse/folder.css,#fcc312,#fcc312,#ffffff
Publishers/DC Comics - Jinxworld/folder.css,#FFFFFF,#FFFFFF,#160100
Publishers/DC Comics - MAD/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/DC Comics - Minx/folder.css,white,black,white
Publishers/DC Comics - Paradox Press/folder.css,white,black,black
Publishers/DC Comics - Vertigo/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/DC Comics - Wildstorm/folder.css,black !important,black !important,white !important
Publishers/DC Comics/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/DC INK/folder.css,#ffffff,#ffffff,#0085ca
Publishers/DC Thomson/folder.css,#000000,#000000,#ffffff
Publishers/DC Zoom/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/DMP/folder.css,#ffffff,#ffffff,#6b4a99
Publishers/Darby Pop/folder.css,#18d9d8,#18d9d8,#000000
Publishers/Dark Horse Comics/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Darkhorse - Berger Books/folder.css,#ffffff,#ffffff,#7e66a2
Publishers/Dazzling Urbanite/folder.css,#000000,#000000,#ffffff
Publishers/Delcourt - Soleil/folder.css,#000000,#000000,#ffffff
Publishers/Delcourt - comiXology Originals/folder.css,#000000,#000000,#ffffff
Publishers/Delcourt/folder.css,#000000,#000000,#ffffff
Publishers/Desperado Publishing/folder.css,black !important,black !important,white !important
Publishers/Devil's Due Comics/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Digital Webbing/folder.css,#000000,#000000,#ffffff
Publishers/Disney/folder.css,black !important,black !important,white !important
Publishers/Dover Publications/folder.css,black !important,black !important,white !important
Publishers/Dover/folder.css,#000000,#000000,#ffffff
Publishers/Drawn and Quarterly/folder.css,#bbe1ca,#bbe1ca,#ffffff
Publishers/Dreamwave Productions/folder.css,black !important,black !important,white !important
Publishers/Dynamite Entertainment/folder.css,#000000,#000000,#ffffff
Publishers/Eclipse Comics/folder.css,black,black,
Publishers/Eco Comics/folder.css,#000000,#000000,#ffffff
Publishers/Editions Brume/folder.css,#84a094,#84a094,#ffffff
Publishers/El Capitan/folder.css,black !important,black !important,white !important
Publishers/Europe Comics/folder.css,#000000,#000000,#ffffff
Publishers/Evil Twin Comics/folder.css,#f7c405,#f7c405,#7d131b
Publishers/Exploding Albatross Funnybooks/folder.css,black !important,black !important,white !important
Publishers/Fantagraphics/folder.css,#881f22,#881f22,#ffffff
Publishers/First Second/folder.css,white,black,
Publishers/Flammarion/folder.css,#000000,#000000,#ffffff
Publishers/Fugu Press/folder.css,white,black,
Publishers/Futabasha Publishers Ltd_/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Future Skeletons/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/GEN Manga/folder.css,#a472b1,#a472b1,#000000
Publishers/GG Studio/folder.css,#333333,#333333,#ffffff
Publishers/GT Labs/folder.css,#000000,#000000,#ffffff
Publishers/Gallery Books/folder.css,black,black,
Publishers/Gemstone/folder.css,#E2DCBC,black !important,black !important
Publishers/Glénat/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Graphic India/folder.css,#4d4d4d,#4d4d4d,#dfdfdf
Publishers/Graphitti Designs/folder.css,#ff9933,#ff9933,white !important
Publishers/Greg Lockard/folder.css,#c61618,#c61618,#ffffff
Publishers/Hard Case Crime/folder.css,black !important,black !important,white !important
Publishers/Harlequin SB Creative Corp_/folder.css,#e7a0a6,#e7a0a6,#ffffff
Publishers/HarperCollins Children's Books/folder.css,#FFFFFF,#FFFFFF,#C0C0C0
Publishers/HarperCollins/folder.css,#FFFFFF,#FFFFFF,#007cc2
Publishers/Harvey Kurtzman's Marley's Ghost/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Haunted Vault Studios/folder.css,#ffffff,#ffffff,#941b1d
Publishers/Heavy Metal/folder.css,#000000,#000000,#ffffff
Publishers/Henry Holt and Co/folder.css,#CBD7D8,black !important,black !important
Publishers/Hermes Press/folder.css,#000000,#000000,#ffffff
Publishers/Heroic Publishing/folder.css,#84b0d2,#84b0d2,#25365b
Publishers/Hill and Wang/folder.css,gray !important,gray !important,white !important
Publishers/Houghton Mifflin Harcourt/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Humanoids/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/I CAN FLY/folder.css,#70d0fa,#70d0fa,#000000
Publishers/IDW Publishing - Top Shelf/folder.css,#1b3b50,#1b3b50,#000000
Publishers/IDW Publishing/folder.css,#147e8f,#147e8f,#ffffff
Publishers/Illicit Press/folder.css,black !important,black !important,white !important
Publishers/Image - Shadowline/folder.css,#000000,#000000,#ffffff
Publishers/Image - Silverline/folder.css,#5d0400,#5d0400,#ffffff
Publishers/Image - Skybound/folder.css,#FFFFFF,#FFFFFF,#29378f
Publishers/Image - Todd McFarlane Productions/folder.css,#000000,#000000,#bd2124
Publishers/Image - Top Cow/folder.css,#ffffff,#ffffff,#333333
Publishers/Image/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Iron Circus Comics/folder.css,#000000,#000000,#ffffff
Publishers/Ishimori/folder.css,#000000,#000000,#ffffff
Publishers/JAMS + JELLIES/folder.css,#000000,#000000,#ffffff
Publishers/Jet City/folder.css,#000000,#000000,#ffffff
"Publishers/Jitsugyo no Nihon Sha, Ltd_/folder.css",#FFFFFF,#FFFFFF,#000000
Publishers/Justin Jordan/folder.css,#482f3a,#482f3a,#f1d9ab
Publishers/K.K. HarperCollins Japan/folder.css,#ffffff,#ffffff,#ec1220
Publishers/Keenspot Entertainment/folder.css,#000000,#000000,#ffffff
Publishers/Kel McDonald/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Kickstart/folder.css,#c13329,#c13329,#ffffff
Publishers/Kid Beowulf/folder.css,#f9ee30,#f9ee30,#ffffff
Publishers/Kids Can Press/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Kingstone Comics/folder.css,#000000,#000000,#ffffff
Publishers/Knockabout/folder.css,#000000,#000000,#ffffff
Publishers/Kodansha Comics - Vertical/folder.css,#ffffff,#ffffff,#1d1d1d
Publishers/Kodansha Comics Digital-First!/folder.css,#ffffff,#ffffff,#000000
Publishers/Kodansha Comics USA/folder.css,#ffffff,#ffffff,#1d1d1d
Publishers/Kurokawa X 12-21/folder.css,#000000,#000000,#ffffff
Publishers/LEED/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/LES REVEURS/folder.css,#000000,#000000,#ffffff
Publishers/Label 619/folder.css,#000000,#000000,#ffffff
Publishers/Legendary/folder.css,#15160e,#15160e,#ffffff
Publishers/Lion Forge Comics - Quillion/folder.css,#95519e,#95519e,#ffffff
Publishers/Lion Forge Comics - Roar Comics/folder.css,#e75025,#e75025,#ffffff
Publishers/Lion Forge Comics/folder.css,#209cd8,#209cd8,#ffffff
Publishers/Liquid Comics/folder.css,#0291d5,#0291d5,#fbfaf8
Publishers/Love Pop/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Marvel - Icon Comics/folder.css,black !important,black !important,white !important
Publishers/Marvel - MAX/folder.css,#000000,#000000,#d7af7b
Publishers/Marvel - Marvel Knights/folder.css,black !important,black !important,white !important
Publishers/Marvel/folder.css,#080c14,#080c14,#ffffff
Publishers/MediBang(global)/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Media Do/folder.css,#000000,#000000,#ffffff
Publishers/Monsterverse/folder.css,#000000,#000000,#ffffff
Publishers/Moonstone/folder.css,#000000,#000000,#ffffff
Publishers/Mutation Narrative/folder.css,#000000,#000000,#ffffff
Publishers/Mystery School Comics Group/folder.css,#000000,#000000,#ffffff
Publishers/NBM/folder.css,#cbd1cf,#cbd1cf,#000000
Publishers/New Wave Comics/folder.css,#000000,#000000,#ffffff
Publishers/Nihon Bungeisha/folder.css,#FFFFFF,#FFFFFF,#000000
"Publishers/North Stars Pictures ,Inc_/folder.css",#FFFFFF,#FFFFFF,#000000
Publishers/Oni Press/folder.css,#e21a22,#e21a22,#ffffff
Publishers/PRINTEMPS PUBLISHING/folder.css,#000000,#000000,#ffffff
Publishers/Paper Films/folder.css,#000000,#000000,#ffffff
Publishers/Papercutz/folder.css,#068748,#068748,#ffffff
Publishers/Piper Snow Productions/folder.css,#3796b9,#3796b9,#ffffff
Publishers/Platinum Manga By DMP - Classic Manga Works by Osamu Tezuka/folder.css,#608cc9,#608cc9,#000000
Publishers/Radical Comics/folder.css,#203130,#203130,#ffffff
Publishers/Rainbow/folder.css,#d692b8,#d692b8,#000000
Publishers/Raw Studios/folder.css,#000000,#000000,#ffffff
Publishers/Red 5 Comics/folder.css,#5d5d5d,#5d5d5d,#ffffff
Publishers/SLG/folder.css,#82a582,#82a582,#123312
Publishers/SOZO Comics/folder.css,#f09a37,#f09a37,#ffffff
Publishers/Sablevision/folder.css,#000000,#000000,#ffffff
Publishers/Scholastic - Graphix/folder.css,#8ca3d5,#8ca3d5,#ffffff
Publishers/SelfMadeHero/folder.css,#000000,#000000,#ffffff
Publishers/Seven Seas Entertainment/folder.css,#000000,#000000,#ffffff
Publishers/Shadow Valley/folder.css,#004023,#004023,#f4f2e4
Publishers/Shufu to Seikatsusha/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Spunch Comics/folder.css,#ffcc33,#ffcc33,#ffffff
Publishers/Strange Turn/folder.css,#ffffff,#ffffff,#414142
Publishers/Studio 407/folder.css,#a1181f,#a1181f,#cececf
Publishers/Swords & Sassery/folder.css,#000000,#000000,#ffffff
Publishers/TKO Studios/folder.css,white,black,
Publishers/TOKYOPOP/folder.css,#ffffff,#ffffff,#b31d0e
"Publishers/TORICO Co., Ltd_/folder.css",#ffffff,#ffffff,#221914
Publishers/Teshkeel/folder.css,#000000,#000000,#ffffff
Publishers/Th3rd World Studios/folder.css,#092344,#092344,#ffffff
Publishers/Thrillbent/folder.css,#000000,#000000,#ffffff
Publishers/TidalWave Productions/folder.css,#626dab,#626dab,#23376c
Publishers/Titan Comics/folder.css,#000000,#000000,#ffffff
Publishers/Udon/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Valiant Classic/folder.css,#000000,#000000,#ffffff
Publishers/Valiant/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Valve/folder.css,#000000,#000000,#ffffff
Publishers/Vault Comics/folder.css,#000000,#000000,#ffffff
Publishers/Viper Comics/folder.css,#333333,#333333,#ffffff
Publishers/Virtual Graphics/folder.css,#8c93d7,#8c93d7,#000000
Publishers/Vita Ayala/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Viz/folder.css,#000000,#000000,#ffffff
Publishers/Yen Press/folder.css,#000000,#000000,#8fa447
Publishers/Z2 Comics/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Zenescope Entertainment/folder.css,#000000,#000000,#ffffff
Publishers/Zenith Press/folder.css,#990000,#990000,#ffffff
Publishers/_old/Insight Editions/folder.css,white,black,
Publishers/_old/Joes Comics/folder.css,#000000,#000000,
Publishers/_old/Kickstarter/folder.css,white,black,
Publishers/_old/King Hell/folder.css,white,black,
Publishers/_old/Kitchen Sink/folder.css,#000000,#000000,#cccccc
Publishers/_old/Last Gasp/folder.css,white,white,
Publishers/_old/Legendary Comics/folder.css,#15160e,#15160e,white
Publishers/_old/Man of Action/folder.css,#e7e7e7,black,
Publishers/_old/Marvel - Epic/folder.css,black,black,white
Publishers/_old/Millarworld/folder.css,white,black,
Publishers/_old/NEC Press/folder.css,white,black,
Publishers/_old/NOW Comics/folder.css,#def9cc,black,
Publishers/_old/Nation Books/folder.css,#CBD7D8,black,white
Publishers/_old/Nobrow/folder.css,white,black,
Publishers/_old/Pantheon Books/folder.css,white,white,
Publishers/_old/Rebellion/folder.css,black,black,
Publishers/_old/Savoy/folder.css,#dbb9af,black,
Publishers/_old/Secret Acres/folder.css,white,black,
Publishers/_old/Storm King Comics/folder.css,black,black,
Publishers/_old/Stranger Comics/folder.css,black,black,
Publishers/_old/Tesladyne/folder.css,#677d92,#fde45e,#fde45e
Publishers/_old/Trident Comics/folder.css,white,black,
Publishers/_old/Tundra/folder.css,white,black,
Publishers/_old/Twist Street Comics/folder.css,black,black,
Publishers/_old/Universe/folder.css,gray,gray,
Publishers/_old/Valiant Classic/folder.css,white,white,
Publishers/_old/Virgin Comics/folder.css,white,white,
Publishers/_old/W. W. Norton & Company/folder.css,white,black,
Publishers/_old/White Wolf Publishing Co/folder.css,black,black,
Publishers/_old/Wizard/folder.css,white,white,
"Publishers/minato-pro,Mz-plan/folder.css",#FFFFFF,#FFFFFF,#000000
Publishers/monkeybrain Comics/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/DE/Harlequin SB Creative Corp_/folder.css,#e7a0a6,#e7a0a6,#ffffff
Publishers_NON-ENGLISH/DE/Marvel - MAX/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers_NON-ENGLISH/DE/Marvel/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers_NON-ENGLISH/DE/Panini Comics/folder.css,#fef200,#fef200,#000000
Publishers_NON-ENGLISH/ES/Amigo Comics/folder.css,#2b904e,#2b904e,
Publishers_NON-ENGLISH/ES/Harlequin SB Creative Corp_/folder.css,#e7a0a6,#e7a0a6,#ffffff
Publishers_NON-ENGLISH/FR/Aelement/folder.css,#c6010b,#c6010b,#000000
Publishers_NON-ENGLISH/FR/Akata/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/FR/Akileos/folder.css,#b92435,#b92435,#ffffff
Publishers_NON-ENGLISH/FR/Ankama Éditions/folder.css,#9c8e84,#9c8e84,#ffffff
Publishers_NON-ENGLISH/FR/Ankama/folder.css,#9c8e84,#9c8e84,#ffffff
Publishers_NON-ENGLISH/FR/Bamboo Édition/folder.css,#00a15b,#00a15b,#000000
Publishers_NON-ENGLISH/FR/Bamboo/folder.css,#00a15b,#00a15b,#000000
Publishers_NON-ENGLISH/FR/Dargaud/folder.css,#3d607c,#3d607c,#ffffff
Publishers_NON-ENGLISH/FR/Delcourt/folder.css,#ed2224,#ed2224,#000000
Publishers_NON-ENGLISH/FR/Denoël Graphic/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/FR/Dupuis/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/FR/Editions Reflexions/folder.css,#88482f,#88482f,#000000
Publishers_NON-ENGLISH/FR/Fluide Glacial/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers_NON-ENGLISH/FR/Futuropolis/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers_NON-ENGLISH/FR/Galaxie Comics/folder.css,#4b6570,#4b6570,#ffffff
Publishers_NON-ENGLISH/FR/Gallimard/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers_NON-ENGLISH/FR/Glénat/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/FR/Hexagon Comics/folder.css,#6b3632,#6b3632,#ffffff
Publishers_NON-ENGLISH/FR/Indeez/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/FR/Jungle !/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/FR/Jungle/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/FR/Kotoji Editions/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/FR/La Découverte/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/FR/La Musardine Dynamite/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/FR/Le Lombard/folder.css,#0b0205,#0b0205,#ffffff
Publishers_NON-ENGLISH/FR/Les Humanoïdes Associés/folder.css,#0c3e59,#0c3e59,#ffffff
Publishers_NON-ENGLISH/FR/Los Brignolès/folder.css,#9b9b9b,#9b9b9b,#ffffff
Publishers_NON-ENGLISH/FR/Makma/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/FR/Panini Comics/folder.css,#fef200,#fef200,#000000
Publishers_NON-ENGLISH/FR/Rue de Sèvres/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/FR/Sandawe/folder.css,#ffffff,#ffffff,#ffffff
Publishers_NON-ENGLISH/FR/Urban Comics/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/FR/Vents d'Ouest/folder.css,#e6dbc7,#e6dbc7,#000000
Publishers_NON-ENGLISH/FR/WEBellipses/folder.css,#bedee0,#bedee0,#000000
Publishers_NON-ENGLISH/FR/Wanga/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/FR/_incomplete/Delcourt - Soleil/folder.css,#f3b000,#f3b000,#000000
Publishers_NON-ENGLISH/FR/_incomplete/Harlequin Comics en Français/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers_NON-ENGLISH/FR/_incomplete/Kazé/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/FR/_incomplete/Marvel - MAX/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers_NON-ENGLISH/FR/_incomplete/Marvel/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers_NON-ENGLISH/FR/Çà et Là/folder.css,#961f01,#961f01,#ffffff
Publishers_NON-ENGLISH/FR/çà et là - Arte Éditions/folder.css,#961f01,#961f01,#ffffff
Publishers_NON-ENGLISH/IT/Marvel - MAX/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers_NON-ENGLISH/IT/Marvel/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers_NON-ENGLISH/ZH/Harlequin SB Creative Corp_/folder.css,#e7a0a6,#e7a0a6,#ffffff
